id,工作部门,薪资范围,公司基本信息,岗位要求,工作福利,是否接受远程办公,公司是否有标志,工作类型,经验要求,学历要求,公司行业类别,公司地点,是否为虚假招聘信息
690,未知,未知,积极,积极,未知,否,否,全职,入门级,未知,其他,美国,1
691,未知,未知,积极,未知,未知,否,否,未知,未知,未知,未知,美国,1
692,销售,未知,积极,积极,未知,否,否,兼职,未知,高中或同等学历,其他,美国,1
693,未知,未知,积极,积极,未知,否,否,全职,入门级,未知,其他,英国,1
694,未知,未知,积极,积极,未知,否,否,全职,入门级,未知,其他,美国,1
695,未知,低于5000,中立,积极,未知,否,是,全职,入门级,高中或同等学历,服务,美国,1
696,未知,低于5000,积极,积极,未知,否,否,全职,不适用,不确定,健康,美国,1
697,未知,未知,积极,未知,未知,是,否,全职,入门级,不确定,电信,未知,1
698,未知,未知,积极,积极,积极,否,是,全职,助理,高中或同等学历,服务,美国,1
699,未知,低于5000,积极,未知,未知,否,否,全职,中高级,未知,服务,美国,1
700,服务,低于5000,积极,积极,积极,是,是,全职,入门级,高中或同等学历,房地产,美国,1
701,未知,未知,积极,中立,未知,否,否,全职,入门级,未知,其他,美国,1
702,未知,未知,中立,积极,未知,否,否,兼职,未知,未知,未知,美国,1
703,未知,低于5000,积极,积极,未知,否,否,全职,不适用,不确定,计算机,美国,1
704,未知,未知,中立,未知,未知,否,否,兼职,入门级,未知,媒体,美国,1
705,未知,未知,积极,未知,未知,否,否,未知,未知,未知,未知,非洲联盟,1
706,未知,未知,积极,未知,未知,否,否,全职,入门级,不确定,健康,美国,1
707,未知,低于5000,中立,积极,未知,否,否,兼职,未知,未知,其他,美国,1
708,未知,未知,中立,积极,未知,否,否,未知,未知,未知,未知,未知,1
709,未知,未知,积极,未知,未知,否,否,未知,未知,未知,未知,未知,1
710,未知,低于5000,积极,积极,未知,否,否,其他,不适用,不确定,其他,英国,1
711,未知,未知,积极,中立,未知,否,否,未知,入门级,未知,未知,美国,1
712,未知,未知,积极,未知,未知,否,否,兼职,未知,未知,未知,美国,1
713,未知,未知,中立,积极,未知,否,否,未知,未知,未知,未知,其他,1
714,未知,未知,中立,中立,未知,否,否,全职,未知,未知,其他,美国,1
715,未知,未知,积极,积极,积极,否,是,未知,未知,未知,未知,美国,1
716,未知,未知,积极,未知,未知,否,否,未知,未知,未知,未知,美国,1
717,未知,未知,积极,消极,积极,否,是,全职,中高级,学士,媒体,美国,0
718,未知,未知,积极,积极,未知,否,否,兼职,未知,未知,未知,非洲联盟,1
719,其他,低于5000,积极,未知,未知,否,否,兼职,不适用,不确定,会计,美国,1
720,未知,未知,积极,积极,未知,否,否,未知,未知,未知,未知,美国,1
721,未知,未知,积极,积极,未知,否,否,未知,未知,未知,未知,美国,1
722,未知,未知,积极,积极,未知,是,否,未知,未知,未知,未知,美国,1
723,未知,未知,积极,积极,积极,否,是,全职,未知,高中或同等学历,服务,美国,1
724,未知,未知,积极,中立,未知,否,否,全职,中高级,学士,健康,未知,0
725,未知,未知,积极,未知,未知,否,否,未知,未知,未知,未知,美国,1
726,其他,低于5000,积极,积极,未知,否,否,全职,入门级,学士,电信,美国,1
727,其他,未知,积极,未知,未知,否,否,未知,未知,未知,未知,英国,1
728,未知,未知,积极,积极,未知,否,否,未知,未知,未知,未知,美国,1
729,未知,未知,积极,积极,未知,否,否,全职,不适用,不确定,未知,美国,1
730,未知,低于5000,积极,积极,未知,否,否,全职,实习,高中或同等学历,会计,美国,1
731,未知,低于5000,积极,消极,未知,否,否,全职,入门级,高中或同等学历,电信,美国,1
732,未知,未知,积极,未知,未知,否,否,未知,未知,未知,未知,美国,1
733,未知,未知,积极,积极,未知,否,否,未知,未知,未知,休闲,美国,1
734,未知,未知,积极,积极,未知,否,否,未知,未知,未知,休闲,美国,1
735,未知,未知,积极,积极,未知,否,否,未知,未知,未知,休闲,美国,1
736,未知,未知,积极,积极,未知,否,否,未知,未知,未知,休闲,美国,1
737,未知,未知,积极,积极,未知,否,否,全职,入门级,未知,其他,美国,1
738,未知,未知,积极,积极,未知,否,否,兼职,入门级,硕士,服务,美国,1
739,未知,未知,积极,未知,未知,否,否,全职,未知,未知,健康,美国,1
740,未知,未知,积极,消极,未知,是,否,未知,入门级,一些高中课程,未知,美国,1
741,未知,未知,积极,消极,未知,是,否,未知,入门级,一些高中课程,未知,美国,1
742,未知,未知,中立,未知,未知,否,否,全职,未知,未知,健康,美国,1
743,未知,未知,积极,积极,未知,否,否,全职,入门级,高中或同等学历,其他,美国,0
744,未知,未知,积极,消极,未知,是,否,未知,入门级,一些高中课程,未知,美国,1
745,未知,未知,积极,未知,未知,否,否,未知,未知,未知,未知,未知,1
746,其他,低于5000,积极,积极,未知,是,是,全职,未知,学士,石油,美国,0
747,未知,低于5000,积极,积极,积极,否,是,全职,助理,高中或同等学历,营销,美国,0
748,未知,未知,中立,积极,未知,否,否,兼职,未知,未知,未知,非洲联盟,1
749,未知,未知,积极,消极,积极,否,是,全职,实习,高中或同等学历,其他,英国,0
750,未知,高于50000,积极,积极,积极,否,是,全职,助理,不确定,服务,非洲联盟,0
751,未知,未知,积极,积极,积极,否,是,其他,中高级,学士,其他,希腊,0
752,服务,未知,积极,积极,积极,否,否,未知,未知,未知,未知,美国,0
753,未知,未知,积极,未知,积极,否,是,未知,未知,未知,未知,未知,0
754,其他,未知,积极,积极,积极,否,是,未知,未知,未知,未知,非洲联盟,0
755,未知,未知,消极,积极,积极,否,是,全职,未知,未知,服务,其他,0
756,其他,未知,积极,积极,积极,否,是,全职,助理,高中或同等学历,其他,英国,0
757,其他,未知,中立,积极,积极,否,是,全职,实习,学士,其他,英国,0
758,未知,未知,消极,积极,未知,否,否,兼职,实习,高中或同等学历,营销,美国,1
759,未知,高于50000,积极,积极,积极,否,是,全职,未知,学士,未知,其他,0
760,销售,未知,积极,未知,积极,否,是,未知,未知,未知,未知,其他,0
761,未知,未知,积极,消极,积极,否,是,未知,不适用,高中或同等学历,未知,英国,0
762,未知,未知,积极,未知,未知,否,否,临时,未知,未知,其他,美国,0
763,未知,未知,积极,积极,积极,否,是,全职,不适用,高中或同等学历,营销,英国,0
764,未知,未知,积极,积极,积极,否,是,全职,不适用,未知,电信,美国,0
765,其他,未知,积极,未知,积极,否,是,未知,未知,未知,未知,美国,0
766,未知,低于5000,中立,积极,积极,否,是,全职,入门级,高中或同等学历,健康,美国,0
767,未知,未知,积极,积极,积极,否,是,全职,助理,学士,计算机,其他,0
768,未知,未知,中立,积极,消极,否,是,全职,未知,学士,计算机,美国,0
769,未知,未知,积极,积极,积极,否,是,全职,不适用,高中或同等学历,未知,英国,0
770,未知,未知,积极,积极,积极,否,是,全职,未知,未知,服务,英国,0
771,未知,未知,积极,积极,积极,否,是,未知,未知,未知,未知,希腊,0
772,其他,未知,积极,积极,积极,否,是,其他,实习,未知,其他,英国,0
773,未知,未知,积极,未知,积极,否,是,临时,未知,未知,服务,其他,0
774,未知,未知,积极,未知,积极,否,否,全职,未知,未知,未知,美国,0
775,其他,未知,积极,积极,积极,否,是,未知,未知,未知,未知,英国,0
776,其他,未知,中立,未知,积极,否,是,未知,未知,未知,未知,英国,0
777,未知,未知,积极,积极,积极,否,是,兼职,入门级,高中或同等学历,服务,美国,0
778,其他,高于50000,积极,积极,未知,否,否,全职,中高级,学士,其他,美国,0
779,未知,低于5000,积极,积极,积极,否,是,全职,未知,未知,其他,美国,0
780,未知,未知,积极,积极,积极,否,是,全职,中高级,未知,房地产,美国,0
781,未知,未知,积极,积极,未知,否,否,全职,执行级,硕士,健康,美国,0
782,未知,高于50000,积极,未知,未知,否,否,全职,入门级,高中或同等学历,服务,美国,0
783,其他,未知,积极,积极,积极,否,是,全职,中高级,学士,服务,英国,0
784,未知,未知,积极,积极,积极,否,是,全职,助理,学士,互联网,其他,0
785,其他,未知,积极,积极,积极,否,是,全职,中高级,未知,其他,新西兰,0
786,未知,未知,积极,积极,积极,否,是,全职,不适用,高中或同等学历,未知,英国,0
787,未知,未知,积极,中立,积极,否,是,全职,未知,其他,健康,美国,0
788,未知,未知,积极,积极,积极,否,是,全职,未知,未知,未知,美国,0
789,未知,未知,中立,积极,积极,否,是,兼职,实习,不确定,互联网,美国,0
790,未知,高于50000,消极,积极,未知,否,否,全职,助理,其他,其他,美国,0
791,未知,高于50000,积极,积极,积极,否,是,全职,助理,学士,其他,美国,0
792,销售,低于5000,积极,积极,积极,否,是,全职,不适用,未知,其他,美国,0
793,未知,未知,消极,积极,未知,否,否,兼职,未知,未知,未知,非洲联盟,1
794,其他,未知,积极,积极,积极,否,是,全职,实习,学士,互联网,英国,0
795,未知,未知,积极,积极,积极,否,是,未知,未知,未知,未知,其他,0
796,其他,未知,积极,积极,积极,否,是,兼职,不适用,高中或同等学历,其他,美国,0
797,其他,未知,积极,积极,积极,否,是,全职,主管,未知,互联网,英国,0
798,未知,未知,积极,积极,积极,否,是,全职,入门级,不确定,其他,美国,0
799,未知,低于5000,积极,积极,未知,否,是,全职,中高级,学士,服务,其他,0
800,未知,未知,积极,积极,中立,否,是,未知,未知,未知,未知,美国,0
801,未知,未知,积极,积极,积极,否,是,全职,中高级,学士,其他,美国,0
802,未知,未知,积极,积极,积极,否,是,全职,不适用,学士,其他,美国,0
803,未知,未知,积极,中立,未知,否,否,全职,中高级,学士,计算机,美国,0
804,未知,低于5000,积极,积极,积极,否,是,全职,入门级,其他,计算机,美国,0
805,未知,未知,积极,积极,积极,否,是,未知,未知,未知,未知,美国,0
806,未知,高于50000,消极,积极,积极,否,否,全职,中高级,学士,服务,新西兰,0
807,其他,高于50000,积极,积极,积极,否,是,全职,中高级,学士,电信,美国,0
808,未知,未知,积极,积极,积极,否,是,全职,未知,未知,石油,美国,0
809,未知,未知,积极,积极,中立,否,是,临时,中高级,未知,未知,新西兰,0
810,未知,未知,积极,积极,未知,否,否,兼职,未知,未知,未知,非洲联盟,1
811,未知,未知,积极,积极,未知,否,否,全职,助理,不确定,服务,美国,0
812,工程,未知,积极,积极,积极,否,是,全职,中高级,未知,未知,美国,0
813,其他,未知,积极,积极,中立,否,是,合同制,入门级,不确定,其他,其他,0
814,未知,未知,积极,积极,积极,否,是,未知,未知,学士,其他,美国,0
815,未知,低于5000,积极,积极,积极,否,是,全职,中高级,未知,媒体,英国,0
816,其他,未知,积极,积极,积极,否,是,全职,不适用,不确定,服务,希腊,0
817,其他,未知,消极,积极,积极,否,是,全职,中高级,学士,石油,美国,0
818,未知,未知,积极,积极,积极,否,是,全职,中高级,学士,计算机,其他,0
819,未知,未知,积极,未知,未知,否,否,全职,入门级,未知,会计,美国,1
820,未知,未知,积极,积极,积极,否,是,全职,中高级,学士,计算机,其他,0
821,未知,未知,积极,未知,积极,否,是,兼职,未知,未知,未知,美国,0
822,其他,未知,积极,未知,积极,否,是,临时,实习,未知,其他,美国,0
823,其他,未知,积极,积极,积极,否,是,全职,中高级,未知,其他,美国,0
824,未知,低于5000,积极,积极,中立,否,否,全职,中高级,学士,其他,英国,0
825,未知,未知,积极,积极,积极,否,是,全职,助理,未知,石油,美国,0
826,其他,未知,积极,积极,积极,否,是,全职,中高级,不确定,计算机,美国,0
827,未知,未知,中立,积极,积极,否,是,全职,助理,学士,健康,美国,0
828,其他,未知,中立,积极,积极,否,是,未知,未知,未知,未知,希腊,0
829,未知,未知,积极,积极,中立,否,是,全职,中高级,学士,其他,美国,0
830,未知,未知,积极,中立,积极,否,是,全职,助理,不确定,营销,美国,0
831,其他,低于5000,积极,积极,积极,否,是,合同制,中高级,学士,其他,新西兰,0
832,其他,未知,中立,积极,积极,否,是,全职,未知,学士,计算机,其他,0
833,未知,未知,积极,积极,未知,否,是,未知,未知,未知,未知,英国,0
834,未知,未知,积极,积极,积极,否,是,全职,中高级,硕士,未知,其他,0
835,销售,未知,积极,积极,积极,否,是,全职,入门级,学士,计算机,美国,0
836,未知,未知,积极,积极,积极,是,是,全职,助理,学士,服务,美国,0
837,未知,未知,积极,中立,积极,否,是,合同制,中高级,未知,未知,美国,0
838,销售,未知,积极,积极,积极,否,是,未知,未知,未知,未知,美国,1
839,未知,未知,积极,积极,未知,否,否,全职,入门级,未知,其他,美国,1
840,未知,未知,积极,积极,未知,否,否,全职,未知,未知,健康,美国,1
841,其他,未知,积极,积极,未知,否,否,未知,未知,未知,未知,美国,1
842,其他,低于5000,积极,积极,积极,否,否,全职,入门级,高中或同等学历,健康,美国,1
843,未知,未知,积极,积极,未知,否,否,未知,未知,未知,未知,英国,1
844,其他,未知,积极,积极,未知,否,否,全职,入门级,硕士,计算机,其他,1
845,文员,未知,积极,积极,未知,否,否,未知,未知,未知,未知,美国,1
846,未知,未知,中立,积极,未知,否,否,兼职,未知,未知,未知,非洲联盟,1
847,未知,低于5000,积极,消极,未知,否,否,全职,不适用,不确定,其他,美国,1
848,未知,未知,积极,积极,未知,否,否,全职,不适用,不确定,会计,美国,1
849,未知,低于5000,中立,积极,未知,否,是,全职,入门级,高中或同等学历,服务,美国,1
850,未知,未知,消极,积极,未知,否,否,兼职,未知,未知,未知,非洲联盟,1
851,未知,未知,积极,积极,积极,否,是,全职,助理,高中或同等学历,服务,美国,1
852,其他,未知,中立,积极,未知,否,否,全职,助理,高中或同等学历,服务,美国,1
853,未知,未知,中立,积极,未知,否,否,兼职,未知,未知,未知,非洲联盟,1
854,未知,未知,中立,消极,未知,否,否,全职,未知,学士,未知,美国,1
855,未知,未知,中立,积极,未知,否,否,兼职,未知,未知,未知,非洲联盟,1
856,未知,未知,中立,积极,未知,否,否,兼职,未知,未知,服务,非洲联盟,1
857,文员,低于5000,积极,积极,未知,否,否,全职,入门级,高中或同等学历,会计,美国,1
858,未知,未知,中立,积极,未知,否,否,兼职,未知,未知,未知,非洲联盟,1
859,营销,未知,中立,积极,未知,否,否,全职,不适用,未知,营销,美国,1
860,其他,低于5000,积极,积极,未知,否,否,全职,入门级,学士,电信,美国,1
861,其他,未知,积极,积极,未知,否,是,未知,未知,未知,未知,美国,1
862,未知,低于5000,消极,积极,未知,否,是,全职,入门级,高中或同等学历,服务,美国,1
863,文员,未知,中立,中立,未知,是,否,其他,入门级,高中或同等学历,计算机,美国,1
864,未知,未知,积极,中立,未知,否,否,合同制,中高级,未知,服务,美国,1
865,未知,未知,消极,未知,未知,否,否,兼职,未知,未知,未知,美国,1
866,未知,未知,积极,消极,未知,是,否,未知,入门级,一些高中课程,未知,美国,1
867,工程,未知,积极,积极,积极,否,是,全职,主管,硕士,其他,美国,1
868,未知,未知,中立,积极,未知,否,否,兼职,未知,未知,未知,美国,1
869,未知,低于5000,积极,积极,未知,是,否,兼职,入门级,其他,会计,美国,1
870,未知,未知,积极,积极,未知,否,否,未知,未知,未知,未知,美国,1
871,未知,未知,积极,未知,未知,否,否,未知,未知,未知,未知,美国,1
872,未知,未知,积极,积极,未知,否,否,全职,未知,未知,休闲,美国,1
873,未知,未知,积极,积极,未知,否,否,未知,未知,未知,未知,英国,1
874,未知,低于5000,积极,积极,未知,否,否,全职,不适用,不确定,服务,英国,1
875,服务,未知,积极,未知,积极,否,是,未知,未知,未知,未知,美国,1
876,未知,低于5000,积极,积极,未知,否,否,兼职,不适用,未知,服务,非洲联盟,1
877,服务,未知,积极,未知,消极,否,是,合同制,未知,未知,未知,美国,1
878,未知,未知,积极,未知,未知,否,否,全职,未知,未知,健康,美国,1
879,未知,未知,积极,消极,未知,否,否,其他,未知,未知,未知,美国,1
880,未知,高于50000,积极,积极,未知,否,否,全职,不适用,不确定,营销,美国,1
881,其他,未知,积极,积极,未知,否,否,全职,入门级,未知,会计,美国,1
882,未知,低于5000,积极,积极,未知,否,否,全职,不适用,不确定,其他,美国,1
883,未知,高于50000,积极,积极,积极,否,否,全职,入门级,高中或同等学历,其他,美国,1
884,未知,未知,积极,未知,未知,否,否,未知,未知,未知,未知,美国,1
885,其他,未知,积极,积极,积极,否,否,全职,入门级,高中或同等学历,服务,美国,1
886,未知,未知,积极,未知,未知,否,否,未知,未知,未知,未知,未知,1
887,文员,未知,积极,积极,未知,否,否,未知,未知,未知,未知,美国,1
888,未知,未知,积极,积极,未知,否,否,全职,入门级,高中或同等学历,会计,美国,1
889,未知,未知,消极,积极,未知,否,否,兼职,入门级,高中或同等学历,营销,美国,1
890,未知,未知,积极,未知,未知,否,否,未知,未知,未知,未知,美国,1
891,其他,未知,消极,积极,积极,是,是,未知,未知,未知,未知,美国,1
892,其他,未知,积极,积极,未知,否,否,全职,入门级,高中或同等学历,健康,美国,1
893,销售,未知,积极,积极,未知,否,否,未知,未知,未知,未知,非洲联盟,1
